Dataset,Model,Accuracy,Sensitivity,Specificity,Precision,F1-score,AUC
D1,LogisticRegression,0.8111332007952287,0.7166666666666667,0.8239277652370203,0.35537190082644626,0.47513812154696133,0.8247178329571108
D1,RandomForest,0.904572564612326,0.4,0.9729119638826185,0.6666666666666666,0.5,0.843905191873589
D1,AdaBoost,0.8866799204771372,0.4666666666666667,0.9435665914221218,0.5283018867924528,0.49557522123893805,0.8469902182091799
D2,LogisticRegression,0.614,0.6492805755395683,0.5932203389830508,0.48456375838926175,0.5549577248270561,0.6911409431776612
D2,RandomForest,0.7253333333333334,0.512589928057554,0.850635593220339,0.6690140845070423,0.5804480651731161,0.7291917525301793
D2,AdaBoost,0.7046666666666667,0.5719424460431655,0.7828389830508474,0.6080305927342257,0.5894346617238183,0.7040700067064992
D3,LogisticRegression,0.7333333333333333,0.8169934640522876,0.7072032662583844,0.4656732304417243,0.5932203389830508,0.7977662922853598
D3,RandomForest,0.9842222222222222,0.9645191409897292,0.9903762029746281,0.9690431519699813,0.9667758540009359,0.9935019015869204
D3,AdaBoost,0.8804444444444445,0.9337068160597572,0.8638086905803442,0.6816632583503749,0.7880220646178093,0.9592699333062671
D4,LogisticRegression,0.5162241887905604,0.5263157894736842,0.5059523809523809,0.5202312138728323,0.5232558139534884,0.5211988304093567
D4,RandomForest,0.5781710914454278,0.5380116959064327,0.6190476190476191,0.5897435897435898,0.5626911314984709,0.6401768309663046
D4,AdaBoost,0.49852507374631266,0.2222222222222222,0.7797619047619048,0.5066666666666667,0.3089430894308943,0.5009920634920635
